Alg,N,Time(sec),GFLOPS
ijk,200,0.01,2.00
ikj,200,0.00,3.20
jik,200,0.01,2.00
jki,200,0.01,3.20
kij,200,0.00,4.00
kji,200,0.01,3.20
i2kj,200,0.00,5.34
ikj2,200,0.00,4.00
ki2j,200,0.00,5.33
kij2,200,0.00,3.99
ijk_block2,200,0.01,2.29
ijk_block4,200,0.01,1.78
ijk,300,0.03,1.93
ikj,300,0.02,3.38
jik,300,0.03,1.86
jki,300,0.02,3.37
kij,300,0.01,4.91
kji,300,0.02,3.38
i2kj,300,0.01,6.00
ikj2,300,0.01,5.41
ki2j,300,0.01,5.40
kij2,300,0.01,4.15
ijk_block2,300,0.01,3.86
ijk_block4,300,0.02,3.18
ijk,400,0.07,1.83
ikj,400,0.04,3.20
jik,400,0.07,1.75
jki,400,0.05,2.67
kij,400,0.03,3.88
kji,400,0.05,2.56
i2kj,400,0.02,5.57
ikj2,400,0.03,4.00
ki2j,400,0.03,4.74
kij2,400,0.03,3.88
ijk_block2,400,0.03,3.66
ijk_block4,400,0.04,3.37
ijk,500,0.14,1.77
ikj,500,0.08,3.29
jik,500,0.14,1.75
jki,500,0.16,1.58
kij,500,0.07,3.79
kji,500,0.16,1.57
i2kj,500,0.04,5.56
ikj2,500,0.06,4.03
ki2j,500,0.06,4.46
kij2,500,0.08,3.29
ijk_block2,500,0.07,3.42
ijk_block4,500,0.07,3.33
ijk,600,0.24,1.76
ikj,600,0.13,3.30
jik,600,0.25,1.76
jki,600,0.29,1.51
kij,600,0.11,3.93
kji,600,0.29,1.51
i2kj,600,0.08,5.61
ikj2,600,0.11,4.08
ki2j,600,0.09,4.55
kij2,600,0.11,3.93
ijk_block2,600,0.13,3.38
ijk_block4,600,0.13,3.30
ijk,700,0.39,1.76
ikj,700,0.21,3.33
jik,700,0.39,1.75
jki,700,0.46,1.49
kij,700,0.17,4.01
kji,700,0.46,1.50
i2kj,700,0.12,5.72
ikj2,700,0.17,4.13
ki2j,700,0.14,4.73
kij2,700,0.17,3.99
ijk_block2,700,0.20,3.40
ijk_block4,700,0.20,3.35
ijk,800,0.58,1.75
ikj,800,0.30,3.36
jik,800,0.59,1.74
jki,800,0.68,1.51
kij,800,0.25,4.06
kji,800,0.68,1.51
i2kj,800,0.18,5.72
ikj2,800,0.24,4.18
ki2j,800,0.21,4.76
kij2,800,0.25,4.03
ijk_block2,800,0.30,3.38
ijk_block4,800,0.31,3.34
ijk,900,0.84,1.74
ikj,900,0.43,3.36
jik,900,0.84,1.73
jki,900,0.96,1.51
kij,900,0.35,4.11
kji,900,0.97,1.50
i2kj,900,0.25,5.76
ikj2,900,0.35,4.21
ki2j,900,0.31,4.69
kij2,900,0.36,4.07
ijk_block2,900,0.43,3.36
ijk_block4,900,0.45,3.21
ijk,1000,1.14,1.75
ikj,1000,0.59,3.37
jik,1000,1.15,1.74
jki,1000,1.32,1.52
kij,1000,0.48,4.14
kji,1000,1.32,1.52
i2kj,1000,0.34,5.80
ikj2,1000,0.47,4.25
ki2j,1000,0.41,4.90
kij2,1000,0.49,4.11
ijk_block2,1000,0.60,3.36
ijk_block4,1000,0.59,3.38
ijk,1100,1.52,1.75
ikj,1100,0.79,3.37
jik,1100,1.53,1.74
jki,1100,1.76,1.51
kij,1100,0.64,4.18
kji,1100,1.76,1.52
i2kj,1100,0.46,5.81
ikj2,1100,0.62,4.28
ki2j,1100,0.54,4.96
kij2,1100,0.64,4.13
ijk_block2,1100,0.81,3.30
ijk_block4,1100,0.81,3.30
ijk,1200,2.13,1.63
ikj,1200,1.06,3.26
jik,1200,2.02,1.71
jki,1200,2.41,1.43
kij,1200,0.88,3.93
kji,1200,2.31,1.50
i2kj,1200,0.60,5.77
ikj2,1200,0.81,4.28
ki2j,1200,0.70,4.95
kij2,1200,0.83,4.15
ijk_block2,1200,1.04,3.33
ijk_block4,1200,1.05,3.29
ijk,1300,2.56,1.72
ikj,1300,1.31,3.36
jik,1300,2.55,1.72
jki,1300,2.90,1.52
kij,1300,1.00,4.40
kji,1300,2.90,1.51
i2kj,1300,0.78,5.61
ikj2,1300,1.03,4.28
ki2j,1300,0.90,4.89
kij2,1300,1.05,4.17
ijk_block2,1300,1.31,3.35
ijk_block4,1300,1.36,3.23
ijk,1400,3.21,1.71
ikj,1400,1.65,3.33
jik,1400,3.19,1.72
jki,1400,3.66,1.50
kij,1400,1.25,4.38
kji,1400,3.66,1.50
i2kj,1400,0.94,5.85
ikj2,1400,1.22,4.49
ki2j,1400,1.07,5.14
kij2,1400,1.28,4.30
ijk_block2,1400,1.62,3.38
ijk_block4,1400,1.65,3.33
ijk,1500,4.21,1.60
ikj,1500,1.61,4.20
jik,1500,3.99,1.69
jki,1500,4.86,1.39
kij,1500,2.02,3.34
kji,1500,4.57,1.48
i2kj,1500,1.17,5.76
ikj2,1500,1.56,4.34
ki2j,1500,1.54,4.39
kij2,1500,1.58,4.26
ijk_block2,1500,2.12,3.19
ijk_block4,1500,2.42,2.79
ijk,1600,4.90,1.67
ikj,1600,1.95,4.21
jik,1600,4.83,1.69
jki,1600,6.14,1.33
kij,1600,2.50,3.28
kji,1600,5.61,1.46
i2kj,1600,1.43,5.71
ikj2,1600,1.83,4.48
ki2j,1600,1.86,4.40
kij2,1600,1.86,4.39
ijk_block2,1600,2.58,3.18
ijk_block4,1600,2.99,2.74
ijk,1700,6.71,1.46
