Alg,N,Time(sec),GFLOPS
ijk,200,0.01,2.29
ikj,200,0.00,5.34
jik,200,0.01,2.00
jki,200,0.01,2.67
kij,200,0.01,3.20
kji,200,0.01,2.67
i2kj,200,0.00,5.33
ik2j,200,0.00,8.00
ikj2,200,0.00,5.33
k2ij,200,0.00,8.00
ki2j,200,0.00,4.00
kij2,200,0.00,5.33
ik4j,200,0.00,8.00
ik8j,200,0.00,8.00
ik16j,200,0.00,5.33
ijk_block2,200,0.00,4.00
ijk_block4,200,0.01,3.20
ijk_block5,200,0.01,3.20
ijk_block10,200,0.01,3.20
ijk_block20,200,0.01,3.20
ijk_block50,200,0.01,2.29
ikj_block2,200,0.01,3.20
ikj_block4,200,0.01,2.29
ikj_block5,200,0.01,2.29
ikj_block10,200,0.00,3.20
ikj_block20,200,0.01,3.20
ikj_block50,200,0.01,3.20
k4ij,200,0.00,5.33
k8ij,200,0.00,8.00
k16ij,200,0.00,5.33
ijk,300,0.03,1.93
ikj,300,0.01,4.91
jik,300,0.03,1.86
jki,300,0.02,2.45
kij,300,0.02,3.38
kji,300,0.02,2.45
i2kj,300,0.01,6.00
ik2j,300,0.01,6.75
ikj2,300,0.01,4.91
k2ij,300,0.01,6.00
ki2j,300,0.01,4.50
kij2,300,0.01,4.91
ik4j,300,0.01,6.75
ik8j,300,0.01,6.75
ik16j,300,0.01,6.00
ijk_block2,300,0.02,3.60
ijk_block4,300,0.02,3.00
ijk_block5,300,0.02,2.70
ijk_block10,300,0.01,3.86
ijk_block20,300,0.01,3.60
ijk_block50,300,0.02,2.84
ikj_block2,300,0.02,3.38
ikj_block4,300,0.02,3.38
ikj_block5,300,0.02,2.84
ikj_block10,300,0.02,3.00
ikj_block20,300,0.01,4.91
ikj_block50,300,0.01,3.60
k4ij,300,0.01,6.75
k8ij,300,0.01,6.00
k16ij,300,0.01,6.00
ijk,400,0.07,1.78
ikj,400,0.03,4.74
jik,400,0.07,1.80
jki,400,0.06,2.17
kij,400,0.04,3.28
kji,400,0.06,2.25
i2kj,400,0.02,6.40
ik2j,400,0.02,5.82
ikj2,400,0.03,4.74
k2ij,400,0.02,6.10
ki2j,400,0.03,4.27
kij2,400,0.03,4.41
ik4j,400,0.02,6.10
ik8j,400,0.02,6.74
ik16j,400,0.02,6.10
ijk_block2,400,0.04,3.12
ijk_block4,400,0.04,3.28
ijk_block5,400,0.05,2.84
ijk_block10,400,0.03,4.00
ijk_block20,400,0.03,3.66
ijk_block50,400,0.04,2.91
ikj_block2,400,0.04,3.56
ikj_block4,400,0.04,3.46
ikj_block5,400,0.04,2.84
ikj_block10,400,0.04,3.12
ikj_block20,400,0.03,4.92
ikj_block50,400,0.03,4.13
k4ij,400,0.02,6.74
k8ij,400,0.02,6.74
k16ij,400,0.02,6.40
ijk,500,0.14,1.77
ikj,500,0.05,4.63
jik,500,0.14,1.76
jki,500,0.16,1.54
kij,500,0.08,3.25
kji,500,0.16,1.52
i2kj,500,0.04,5.68
ik2j,500,0.04,5.81
ikj2,500,0.05,4.63
k2ij,500,0.04,6.10
ki2j,500,0.06,4.24
kij2,500,0.06,4.10
ik4j,500,0.04,6.25
ik8j,500,0.04,6.25
ik16j,500,0.04,6.10
ijk_block2,500,0.07,3.47
ijk_block4,500,0.07,3.42
ijk_block5,500,0.09,2.72
ijk_block10,500,0.07,3.79
ijk_block20,500,0.07,3.62
ijk_block50,500,0.09,2.84
ikj_block2,500,0.08,3.25
ikj_block4,500,0.11,2.34
ikj_block5,500,0.08,3.05
ikj_block10,500,0.05,4.72
ikj_block20,500,0.05,4.90
ikj_block50,500,0.07,3.47
